"address","business_name","business_type","precinct","live_date","geom"
"3810 E McNichols Rd","Diamond Liquor","Retail","11.0","20/6/2017 00:00:00-04","0101000020E6100000FBAD9D2809C454C0C90050C58D354540"
"10833 W 7 Mile Rd","Mobil","Retail","12.0","21/6/2017 00:00:00-04","0101000020E6100000CD069964E4CA54C0E1EF17B325374540"
"17230 Harper Ave","Exxon","Retail","5.0","22/6/2017 00:00:00-04","0101000020E610000064B2B8FFC8BB54C004745FCE6C354540"
"17776 Grand River Ave","BP","Retail","8.0","28/6/2017 00:00:00-04","0101000020E610000052D2C3D0EACD54C0083E062B4E334540"
"17785 Grand River Ave","Valero","Retail","8.0","28/6/2017 00:00:00-04","0101000020E61000005184D4EDECCD54C049F3C7B436334540"
"23540 W 7 Mile Rd","Sunoco","Retail","8.0","28/6/2017 00:00:00-04","0101000020E610000092E68F696DD154C0E738B709F7364540"
"10736 E Jefferson Ave","BP","Retail","5.0","29/6/2017 00:00:00-04","0101000020E61000008BC1C3B46FBE54C01B2AC6F99B2E4540"
"6707 Dix St","Certified Alignment & Suspension","Services","4.0","6/7/2017 00:00:00-04","0101000020E61000000951BEA085C754C0779D0DF967284540"
"4607 E 7 Mile Rd","Pick A Snack Party Shoppe","Retail","11.0","13/7/2017 00:00:00-04","0101000020E6100000126C5CFFAEC354C037363B527D374540"
"11002 Hayes St","Hayes Liquor Basket","Retail","9.0","17/7/2017 00:00:00-04","0101000020E6100000D099B4A9BABD54C0D447E00F3F354540"
"9100 Chalmers St","76 Gas","Retail","9.0","17/7/2017 00:00:00-04","0101000020E61000003411363CBDBD54C0C8B4368DED334540"
"7310 Mack Ave","Elbow Lounge","Services","7.0","18/7/2017 00:00:00-04","0101000020E610000072F90FE9B7C054C0AAF06778B32E4540"
"15405 Gratiot Ave #100","Little Caesar's Pizza","Retail","9.0","24/7/2017 00:00:00-04","0101000020E6100000C26856B60FBE54C083E0F1ED5D394540"
"15405 Gratiot Ave #150","Advance America","Services","9.0","24/7/2017 00:00:00-04","0101000020E610000092CA147310BE54C09A081B9E5E394540"
"15405 Gratiot Ave #200","Game Stop","Retail","9.0","24/7/2017 00:00:00-04","0101000020E61000006EC0E78711BE54C0E1B4E0455F394540"
"15405 Gratiot Ave #250","Vacant","Retail","9.0","24/7/2017 00:00:00-04","0101000020E61000003274ECA012BE54C0F9DC09F65F394540"
"15405 Gratiot Ave #300","MetroPCS","Services","9.0","24/7/2017 00:00:00-04","0101000020E6100000BAF59A1E14BE54C0AB3FC23060394540"
"15405 Gratiot Ave #400","Tax Giant","Services","9.0","24/7/2017 00:00:00-04","0101000020E6100000A165DD3F16BE54C039984D8061394540"
"15405 Gratiot Ave #500","Dollar Center","Retail","9.0","24/7/2017 00:00:00-04","0101000020E6100000F357C85C19BE54C02CB6494563394540"
"15405 Gratiot Ave #600","City Warehouse","Retail","9.0","24/7/2017 00:00:00-04","0101000020E610000082CAF8F719BE54C07E74EACA67394540"
"18430 Ford Rd","Wendy's","Retail","6.0","26/7/2017 00:00:00-04","0101000020E6100000BC9179E40FCE54C05B272EC72B2A4540"
"5637 Charles St","Super X Liquor","Retail","11.0","26/7/2017 00:00:00-04","0101000020E61000004BADF71BEDC254C099D6A6B1BD344540"
"114 W Adams Ave","Briggs Houze","Residential","3.0","27/7/2017 00:00:00-04","0101000020E61000003716140665C354C08E5BCCCF0D2B4540"
"10542 Whittier St","Whittier Market","Retail","9.0","28/7/2017 00:00:00-04","0101000020E610000007EE409DF2BC54C07CEF6FD05E354540"
"7100 W 7 Mile Rd","State Farm","Services","12.0","31/7/2017 00:00:00-04","0101000020E61000000938842A35C954C001309E4143374540"
"16226 E Warren Ave","Public Foods","Retail","5.0","2/8/2017 00:00:00-04","0101000020E61000007DAF21382EBC54C0D7DCD1FF72334540"
"23740 W 7 Mile Rd","7-Tel Party Store","Retail","8.0","2/8/2017 00:00:00-04","0101000020E6100000F6CE68AB92D154C083DBDAC2F3364540"
"13001 Hayes St","Hayes Troester","Retail","9.0","4/8/2017 00:00:00-04","0101000020E610000015ADDC0BCCBD54C05E81E84999364540"
"18137 Joy Rd - BP","BP","Retail","6.0","11/8/2017 00:00:00-04","0101000020E6100000AC376A85E9CD54C0F8C43A55BE2D4540"
"15501 Plymouth Rd","McDonald's","Retail","6.0","14/8/2017 00:00:00-04","0101000020E6100000FB5DD89AADCC54C09AB67F65A52F4540"
"18137 Joy Rd - McD","McDonald's","Retail","6.0","14/8/2017 00:00:00-04","0101000020E6100000F54BC45BE7CD54C0E1D05B3CBC2D4540"
"3801 W Vernor Hwy","Citgo","Retail","4.0","16/8/2017 00:00:00-04","0101000020E610000072C5C551B9C554C08E20956247294540"
"24761 W 7 Mile Rd","BP","Retail","8.0","16/8/2017 00:00:00-04","0101000020E6100000B08EE3874AD254C0EDD286C3D2364540"
"15500 Plymouth Rd","Marathon","Retail","6.0","17/8/2017 00:00:00-04","0101000020E6100000F5BA4560ACCC54C00D0055DCB82F4540"
"7400 Woodward Ave","New Center Liquor","Retail","3.0","23/8/2017 00:00:00-04","0101000020E610000055FA0967B7C454C01A6EC0E7872F4540"
"17200 W McNichols Rd","Mega Liquor","Retail","8.0","25/8/2017 00:00:00-04","0101000020E610000084D9041896CD54C02219726C3D354540"
"17336 Lahser Rd","Motor City Java","Retail","8.0","29/8/2017 00:00:00-04","0101000020E6100000FD6B79E57AD054C03F55850662354540"
"8901 Woodward Ave","Marathon","Retail","3.0","31/8/2017 00:00:00-04","0101000020E610000039F06AB933C554C09A780778D2304540"
"20436 W 7 Mile Rd","International Language Solutions","Services","8.0","6/9/2017 00:00:00-04","0101000020E6100000FCA886FD9ECF54C01E335019FF364540"
"12340 Dexter Ave","Valero","Retail","10.0","8/9/2017 00:00:00-04","0101000020E61000004B3B35971BC854C0CD052E8F35314540"
"15245 W 8 Mile Rd.","GDI Services Inc.","Services","12.0","30/10/2017 00:00:00-04","0101000020E6100000E44C13B69FCC54C0AC1DC539EA384540"
"22355 W 8 Mile Rd","West Oaks Senior Care","Residential","8.0","30/10/2017 00:00:00-04","0101000020E6100000F9BA0CFFE9D054C08CBAD6DEA7384540"
"16600 Plymouth Rd","JR Party Store","Retail","6.0","2/11/2017 00:00:00-04","0101000020E6100000734BAB2171CD54C05D6DC5FEB22F4540"
"7900 Mack Ave","Mack Avenue Community Church","Services","7.0","2/11/2017 00:00:00-04","0101000020E610000086048C2E6FC054C0A8C821E2E62E4540"
"8740 E 7 Mile Rd","Family Food and Liquor","Retail","11.0","2/11/2017 00:00:00-04","0101000020E61000007270E998F3C054C047054EB681374540"
"10848 W 7 Mile Rd","Detroit Wine & Liquor","Retail","12.0","2/11/2017 00:00:00-04","0101000020E610000019709692E5CA54C09BE5B2D139374540"
"5153 E 7 Mile Rd","Riviera Liquor","Retail","11.0","3/11/2017 00:00:00-04","0101000020E6100000C64E78094EC354C00C3B8C497F374540"
