"record_id","street_num","street_dir","street_name","street_type","record_type","task","status","record_status_date","parcel_id","geom"
"ANN2004-03944","14670","","GRATIOT","","Commercial Inspection","Issue CofC","Issued","13/5/2021 00:00:00","21028523-5","0101000020E610000019E0A90A5ABE54C0366176534A384540"
"ANN2004-03948","20132",,"JOY ROAD",,"Commercial Inspection","Issue CofC","Issued","15/3/2022 00:00:00","22002706-11","0101000020E6100000F7BD519A39CF54C0A232E12CCB2D4540"
"ANN2004-03969","2735","W","DAVISON","","Commercial Inspection","Issue CofC","Issued","14/5/2021 00:00:00","10004197.003","0101000020E610000044992DA7ECC754C0F68E8C512D324540"
"ANN2004-03974","1200","","HOLBROOK","","Commercial Inspection","Issue CofC","Issued","2/12/2021 00:00:00","05002963-8","0101000020E61000004279D25A68C454C01791B51E63314540"
"ANN2004-03977","9122","","DEXTER","","Commercial Inspection","Issue CofC","Issued","13/12/2021 00:00:00","12010455.","0101000020E61000004566FD7F7FC754C00135F33F542F4540"
"ANN2004-03984","18911","","GREENFIELD","","Commercial Inspection","Issue CofC","Issued","30/3/2021 00:00:00","22050590-5","0101000020E6100000D6AAA130D0CC54C00134DD9AE5364540"
"ANN2004-04003","17739","W","GRAND RIVER",,"Commercial Inspection","Issue CofC","Issued","18/3/2022 00:00:00","22007213-9","0101000020E610000042DF8D47E5CD54C0EAB9187332334540"
"ANN2004-04018","18949","","GREENFIELD","ROAD","Commercial Inspection","Issue CofC","Issued","30/3/2021 00:00:00","22050580-3","0101000020E61000003C300AA7CECC54C0E7C7DFA3F3364540"
"ANN2004-04023","4701","","MICHIGAN","","Commercial Inspection","Issue CofC","Issued","12/8/2019 00:00:00","16001621.","0101000020E6100000FEE4A429DFC654C05B15AEE75C2A4540"
"ANN2004-04042","10800","E","JEFFERSON","","Commercial Inspection","Issue CofC","Issued","27/7/2021 00:00:00","21000472-3","0101000020E61000003AB5CAD364BE54C009AE4C83A62E4540"
"ANN2004-04043","13222","E","JEFFERSON","","Commercial Inspection","Issue CofC","Issued","15/11/2021 00:00:00","21000367-73","0101000020E61000000D1FF9FFC8BC54C0E18CF11F5A2F4540"
"ANN2004-04044","267","","JOS CAMPAU","","Commercial Inspection","Issue CofC","Issued","24/6/2021 00:00:00",,
"ANN2004-04047","13111",,"JOY ROAD",,"Commercial Inspection","Issue CofC","Issued","12/8/2022 00:00:00","22002090-101","0101000020E6100000F42BB14617CB54C028E8ABE5DC2D4540"
"ANN2004-04049","454","E","LAFAYETTE","","Commercial Inspection","Issue CofC","Issued","13/9/2021 00:00:00",,
"ANN2004-04055","12001",,"LIVERNOIS",,"Commercial Inspection","Issue CofC","Issued","27/7/2022 00:00:00","16018145.002L","0101000020E61000003C8D5411EDC854C0B554EF582A304540"
"ANN2004-04062","13031","","MACK","","Commercial Inspection","Issue CofC","Issued","26/3/2021 00:00:00","21001313.","0101000020E6100000DB2A144086BD54C00A3BD81248314540"
"ANN2004-04064","18051","","MACK","","Commercial Inspection","Issue CofC","Issued","12/11/2019 00:00:00","21078473-4","0101000020E61000002435DC45A1BA54C0E8471DEAF2334540"
"ANN2004-04074","4777","E","OUTER DRIVE","","Commercial Inspection","Issue CofC","Issued","3/2/2020 00:00:00","17016350.003L","0101000020E6100000A5050FFE45C154C0B2CDC5559C384540"
"ANN2004-04078","17040","","PLYMOUTH","","Commercial Inspection","Issue CofC","Issued","3/3/2020 00:00:00","22005801-5","0101000020E6100000BCAD484AB2CD54C0D3A1CEA0AF2F4540"
"ANN2004-04080","2469","","RUSSELL","","Commercial Inspection","Issue CofC","Issued","2/11/2020 00:00:00","05003456-60","0101000020E610000071F3DA8293C254C0AE9C0D91352C4540"
"ANN2004-04092","22046","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","9/8/2021 00:00:00","22016826-31","0101000020E610000040C2D26197D054C091D752B1F9364540"
"ANN2004-04093","23720","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","13/6/2019 00:00:00","22016805.002","0101000020E610000084EAFF7F90D154C09FD6ED3FF4364540"
"ANN2004-04106","12540","","LIVERNOIS","","Commercial Inspection","Issue CofC","Issued","20/8/2019 00:00:00","14013161.","0101000020E6100000F79E1624E4C854C0B5497310B5304540"
"ANN2004-04110","15520","W","WARREN",,"Commercial Inspection","Issue CofC","Issued","22/7/2022 00:00:00","22000922.","0101000020E6100000521953D396CC54C0CB89B3B6052C4540"
"ANN2004-04121","5700","","CANTON","","Commercial Inspection","Issue CofC","Issued","27/1/2021 00:00:00","15010179.","0101000020E6100000D595D9C695C154C09F1353A665304540"
"ANN2004-04127","7501","W","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","11/4/2022 00:00:00","16009342-3","0101000020E61000009E2EA3F578C954C02D3BCF6408394540"
"ANN2004-04131","13600","","CHICAGO","","Commercial Inspection","Issue CofC","Issued","24/3/2021 00:00:00","22004670-3","0101000020E61000005F9F579863CB54C04099D58AD72E4540"
"ANN2004-04133","18801","","CONANT","","Commercial Inspection","Issue CofC","Issued","10/11/2021 00:00:00","09008637-9","0101000020E61000008FE34EEBA5C454C0F4E46E4C22374540"
"ANN2004-04134","19132","","CONANT","","Commercial Inspection","Issue CofC","Issued","1/7/2019 00:00:00",,
"ANN2004-04137","10009","","CURTIS","","Commercial Inspection","Issue CofC","Issued","30/7/2019 00:00:00",,
"ANN2004-04142","419","","MONROE","","Commercial Inspection","Issue CofC","Issued","12/3/2019 00:00:00","01000192.","0101000020E61000009535AFFCC7C254C02F7C9ADDDA2A4540"
"ANN2004-04148","6500","E","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","22/2/2019 00:00:00","15003338.001","0101000020E6100000D48C588F3FC254C0CBFF2899A1354540"
"ANN2004-04151","4030","E","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","22/7/2020 00:00:00","13009129.","0101000020E6100000A15A4CBC1AC454C0F6FA3FC036394540"
"ANN2004-04162","7850",,"GRATIOT",,"Commercial Inspection","Issue CofC","Issued","10/5/2022 00:00:00","17000640.","0101000020E610000029C91E83ECC054C0993359AA67304540"
"ANN2004-04166","14260",,"GRATIOT",,"Commercial Inspection","Issue CofC","Issued","22/6/2022 00:00:00","21028568-9","0101000020E610000069E715CB8BBE54C0C6C2C60BAA374540"
"ANN2004-04169","16661","","HARPER","","Commercial Inspection","Issue CofC","Issued","14/5/2019 00:00:00","21004609.","0101000020E61000006E1AFAF131BC54C04901247A01354540"
"ANN2004-04171","13737","","JOY ROAD","","Commercial Inspection","Issue CofC","Issued","29/9/2021 00:00:00","22002137.","0101000020E610000033D6CE4E7CCB54C04B434E20D82D4540"
"ANN2004-04176","11230","","MORANG","","Commercial Inspection","Issue CofC","Issued","19/11/2021 00:00:00","21076484-7","0101000020E61000006BBA24F26CBC54C0D14A31DF47364540"
"ANN2004-04197","13239","","JOY ROAD","","Commercial Inspection","Issue CofC","Issued","28/5/2019 00:00:00","22002108-14","0101000020E6100000F82347B82ECB54C001DB5191DC2D4540"
"ANN2004-04199","10845","","JOY ROAD","","Commercial Inspection","Issue CofC","Issued","23/11/2020 00:00:00","18005161-4","0101000020E6100000F2E2ABFCB4CA54C03356B690E12D4540"
"ANN2004-04202","2923","E","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","22/8/2019 00:00:00","13008367-8","0101000020E6100000F752CEBAB0C454C036A3E63070374540"
"ANN2004-04205","16641","WEST","WARREN","AVENUE","Commercial Inspection","Issue CofC","Issued","2/9/2022 00:00:00","22000181-2","0101000020E6100000BB1CD49A69CD54C0D6242EF5ED2B4540"
"ANN2004-04211","4733","W","VERNOR","","Commercial Inspection","Issue CofC","Issued","10/1/2019 00:00:00","16000647.","0101000020E61000007199A40653C654C093663D1CCF284540"
"ANN2004-04225","18040",,"JAMES COUZENS",,"Commercial Inspection","Issue CofC","Issued","5/5/2022 00:00:00","22019119-20","0101000020E61000002B64BEA459CB54C04E22F33F1A364540"
"ANN2004-04235","7151","","FENKELL","","Commercial Inspection","Issue CofC","Issued","15/11/2021 00:00:00","16006893.","0101000020E6100000F7DA89762CC954C0374BF97583334540"
"ANN2004-04236","22345","W","GRAND RIVER","","Commercial Inspection","Issue CofC","Issued","3/5/2021 00:00:00","22007496-8","0101000020E6100000EB1BAB96C2D054C01FAA337C7A354540"
